GeneA,GeneB
CTCF,TERT
CTCF,WT1
CTNNB1,AR
CTNNB1,BIRC5
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CD44
CTNNB1,CHGA
CTNNB1,CLDN2
CTNNB1,FST
CTNNB1,GLCE
CTNNB1,GLI2
CTNNB1,JUN
CTNNB1,JUN
CTNNB1,MMP14
CTNNB1,MMP7
CTNNB1,MYC
CTNNB1,MYC
CTNNB1,NCOA2
CTNNB1,NRCAM
CTNNB1,PLD1
CTNNB1,PPARD
CTNNB1,PTGS2
CTNNB1,RB1
CTNNB1,STARD7
CTNNB1,TCF7
CTNNB1,VIM
CTNNBIP1,GLI2
CTNNBIP1,MMP14
CTNNBIP1,STMN2
CUX1,CDKN1B
CUX1,CFTR
CUX1,CR2
CUX1,CYBB
CUX1,ECT2
CUX1,FTO
CUX1,RACGAP1
CUX1,WNT5A
DACH1,FOS
DACH1,PELP1
DACH1,TNFSF11
DAXX,AIRE
DBP,ACKR1
DBP,ALDOB
DBP,CYP3A4
DBP,CYP7A1
DDB1,CDKN2A
DEAF1,GDF5
DEAF1,HTR1A
DEDD,CFLAR
DEDD,FADD
DMAP1,ATM
DMAP1,BAX
DMAP1,CDKN1A
DMAP1,DNMT1
DNMT1,BAG1
DNMT1,BIRC5
DNMT1,BMP2
DNMT1,CASP8
DNMT1,CDH1
DNMT1,CDH1
DNMT1,CDKN2A
DNMT1,CDKN2A
DNMT1,CDKN2B
DNMT1,CXCR4
DNMT1,EPCAM
DNMT1,ESR1
DNMT1,GAD1
DNMT1,HDAC1
DNMT1,IL3
DNMT1,IL32
DNMT1,KIR2DL3
DNMT1,MBD2
DNMT1,MGMT
DNMT1,MSH2
DNMT1,PROM1
DNMT1,RASSF1
DNMT1,RB1
DNMT1,RELN
DNMT1,RGS10
DNMT1,RUNX3
DNMT1,SFRP1
DNMT1,SFRP5
DNMT1,TERT
DNMT1,TIMP3
DNMT1,TNFRSF10B
DNMT1,TP53
DNMT1,VEGFA
DNMT3A,CDH6
DNMT3A,CDKN1A
DNMT3A,CDKN2A
DNMT3A,IGFBP3
DNMT3A,JUP
DNMT3A,POU5F1
DNMT3A,SETDB1
DNMT3A,SFRP1
DNMT3A,SFRP5
DRAP1,TBP
E2F1,ABCB1
E2F1,APAF1
E2F1,APAF1
E2F1,AR
E2F1,AR
E2F1,ASF1B
E2F1,ATAD2
E2F1,ATG5
E2F1,ATM
E2F1,ATM
