Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
DDX11L1,0,0.195026178010471,0.307591623036649,0.156389373666861,0.162946633599706,0.0801047120418848
WASH7P,0.30041343429182,0.179298090769731,0.3139806986575,0.312128954336415,0.339729402086202,0.273753890463139
MIR1302-2HG,0.590855803048066,0.174091441969519,0.27116060961313,0.262647668861033,0.233001172332943,0.318874560375147
FAM138A,0,0,0.220559711831532,0.163018379975986,0.185993349958437,0.146134663341646
OR4G4P,0.287610619469027,0.243086283185841,0.22990412979351,0.242831007488087,0.295589728710286,0.334955752212389
OR4G11P,0,0.402255639097744,0.406253729562,0.276357101545071,0.346025778732546,0.506229860365199
OR4F5,0.339442989764342,0.0667698167103071,0.186407998095692,0.154889861388314,0.189119620429357,0.1877648179005
RP11-34P13.7,0.158682634730539,0.228293413173653,0.206437125748503,0.141300731869594,0.143519412787329,0.374251497005988
CICP27,0,0.0719806763285024,0.134589371980676,0.142809364548495,0.181688520818956,0.216231884057971
RP11-34P13.15,0.116361563311585,0.0612909355799075,0.190031178958778,0.247751694432128,0.254747372787328,0.29932222714892
RP11-34P13.16,0.0779468452018665,0.0451054980726314,0.168714636730461,0.188677131940218,0.204356787010469,0.25489703793873
RP11-34P13.14,0,0,0.108305120932077,0.0328369475706835,0.125685140747169,0
RP11-34P13.13,0.0334928229665072,0.15933014354067,0.332727272727273,0.248449406344143,0.244580102293351,0.155693779904306
ABC7-43046700E7.1,0.201632008423269,0.118978678599631,0.193050802842853,0.172698078441695,0.221861663336771,0.0734403790471177
RP11-34P13.18,0.598119552087754,0.39644477816591,0.452270575560706,0.388409128007574,0.452685081169778,0.42561457347132
AP006222.2,0.521492537313433,0.553532338308458,0.374991708126037,0.303988059701493,0.329852377456977,0.299860696517413
RPL23AP24,0.37401055408971,0,0.387664907651715,0.30073047982019,0.183861392458933,0.285455145118733
RP5-857K21.15,0,0,0.121110739377718,0.037037037037037,0.0366900858704137,0
RP4-669L17.2,0,0.137987012987013,0.174152236652237,0.198292448292448,0.202751885211563,0.337459415584416
RP4-669L17.10,0.198022959183673,0.282047193877551,0.293718112244898,0.244012188208617,0.31321882566586,0.284279336734694
WBP1LP7,0.236940666272423,0.139858072146659,0.198009067612852,0.176992827791172,0.194196982125484,0.222629607727183
OR4F29,0,0.309293904646952,0.267082411318983,0.321755068284942,0.336811571631592,0.617863608931804
