GeneA,GeneB
EP300,CYP1B1
EP300,DNMT1
EP300,EIF2AK1
EP300,EPO
EP300,ERBB2
EP300,EZH2
EP300,GFAP
EP300,HINFP
EP300,IFNG
EP300,IGF1
EP300,IGFBP3
EP300,IL12B
EP300,IL5
EP300,IL6
EP300,KLK3
EP300,KRT16
EP300,LAMA3
EP300,MDM2
EP300,MGMT
EP300,MMP9
EP300,MYC
EP300,NFKB1
EP300,NR0B2
EP300,NR1H4
EP300,PARP1
EP300,PCNA
EP300,PTGS2
EP300,PTGS2
EP300,RAD51
EP300,RELA
EP300,RS1
EP300,S100A4
EP300,SLC9A2
EP300,TBXAS1
EP300,THBD
EP300,TP73
EP300,TRIM22
EP300,VCAM1
EP300,VEGFA
EP300,WT1
EP300,YY1
EP300,ZEB1
EPAS1,CA9
EPAS1,CCR7
EPAS1,COL10A1
EPAS1,FLT1
EPAS1,MMP14
EPAS1,MSC
EPAS1,PTPRZ1
EPAS1,SERPINE1
EPAS1,USF2
EPAS1,VEGFA
EPAS1,VEGFA
ERCC2,BAX
ERCC2,BCL2
ERCC2,CDKN1A
ERCC2,CPD
ERCC2,E2F1
ERCC2,LAMTOR5
ERCC2,TP53
ERCC2,XPA
ERF,ETS2
ERF,PRL
ERF,UTRN
ERG,ADAMTS1
ERG,CDH5
ERG,CRISP3
ERG,CXCL8
ERG,CXCR4
ERG,ENG
ERG,ENG
ERG,EPB41L3
ERG,EPB41L4B
ERG,ERG
ERG,FGF2
ERG,HMOX1
ERG,HPGD
ERG,ICAM1
ERG,ICAM2
ERG,ILK
ERG,KCNN2
ERG,PIM1
ERG,SOX4
ERG,SPP1
ERG,TDRD1
ERG,TDRD1
ERG,TFF3
ERG,TMPRSS2
ERG,VIM
ERG,VWF
ERG,VWF
ERG,WNT11
ERG,ZEB1
ETS1,ABCB1
ETS1,ANGPT2
ETS1,ANPEP
ETS1,ATXN2
ETS1,BAX
ETS1,BMP4
ETS1,EMSY
ETS1,CA9
ETS1,CASP1
ETS1,CD6
ETS1,CD8A
ETS1,CDKN1A
ETS1,CDKN2A
ETS1,CHUK
ETS1,COL1A1
ETS1,CR1
ETS1,CSF2
ETS1,CSF3R
ETS1,CSNK2A1
ETS1,CSNK2B
ETS1,CTGF
ETS1,CTSB
ETS1,CXCR4
ETS1,DUSP6
ETS1,ECE1
ETS1,EGR1
ETS1,EGR1
ETS1,ERG
ETS1,F13A1
ETS1,FGFBP1
ETS1,FLI1
ETS1,FLT1
ETS1,FOXD1
ETS1,GP6
ETS1,GRPR
ETS1,HMOX1
ETS1,HPGD
ETS1,IGFBP1
ETS1,IL2RB
ETS1,IL5
ETS1,ITGB3
ETS1,LCK
ETS1,MDM2
ETS1,MGAT5
ETS1,MMP1
ETS1,MMP1
ETS1,MMP10
ETS1,MMP13
ETS1,MMP3
ETS1,MMP9
ETS1,MMP9
ETS1,MUC4
ETS1,MYB
ETS1,NDRG1
ETS1,NKX3-1
ETS1,PARP1
ETS1,PARP1
ETS1,PF4
ETS1,PF4
ETS1,PLAU
ETS1,PRL
ETS1,PRL
ETS1,PTHLH
ETS1,PTHLH
ETS1,RHOC
ETS1,SLC26A3
ETS1,SPRY2
ETS1,SQSTM1
ETS1,TAF12
ETS1,TBXA2R
ETS1,TBXAS1
ETS1,TERT
ETS1,TFAP2A
ETS1,TGFBR2
ETS1,TGFBR2
ETS1,TMEM158
ETS1,TNC
ETS1,TNC
ETS1,TNFSF14
ETS1,TP53
ETS1,VWF
ETS1,WAS
ETS1,WT1
ETS2,ANGPT2
ETS2,ANPEP
ETS2,APP
ETS2,CD163
ETS2,CDK1
ETS2,CDKN1A
ETS2,CDKN2A
ETS2,CGA
ETS2,CHRNE
ETS2,CSF2
ETS2,CSF3R
ETS2,CXCL8
ETS2,EGR1
ETS2,ERG
ETS2,FLI1
ETS2,ICAM1
ETS2,IL12B
ETS2,IL5
ETS2,LCK
ETS2,MDM2
ETS2,MMP1
ETS2,MMP2
ETS2,MMP3
ETS2,MMP9
ETS2,MSR1
ETS2,MYC
ETS2,PDE7A
ETS2,TERT
ETS2,TLR9
ETS2,TNC
ETS2,TP53
ETS2,VWF
ETV3,MMP1
ETV3,NFKB1
ETV3,RELA
ETV4,AGTR1
ETV4,BDKRB1
ETV4,CCND2
ETV4,CCND3
ETV4,EGLN1
ETV4,ERBB2
ETV4,ERBB2
ETV4,ETS1
ETV4,GBA
ETV4,MMP1
ETV4,MMP14
ETV4,MMP2
ETV4,MMP7
ETV4,MMP7
ETV4,MUC4
ETV4,PLAUR
ETV4,PTGS2
ETV4,SYN2
ETV4,TERT
ETV4,TGFBR2
ETV4,TIMP2
ETV4,TNF
ETV4,VIM
ETV6,BBC3
ETV6,CDKN1A
ETV6,GAS2
ETV6,IGFBP5
ETV6,MAD2L1
ETV7,ETS1
ETV7,ETS2
ETV7,ETV6
EWSR1,ATF1
EWSR1,CCK
EWSR1,EGR2
EWSR1,MITF
EWSR1,NR0B1
EWSR1,PHLDA1
EWSR1,POU4F1
EWSR1,TERT
EWSR1,TGFBR2
FLI1,CCK
FLI1,COL1A2
FLI1,CTGF
FLI1,EP300
FLI1,ERG
FLI1,EYA3
FLI1,FLI1
FLI1,FOXM1
FLI1,GATA1
FLI1,GP6
FLI1,GP9
FLI1,HDAC1
FLI1,HMOX1
FLI1,ID2
FLI1,IGFBP3
FLI1,IL10
FLI1,ITGA2B
FLI1,MMP1
FLI1,MPL
FLI1,PF4
FLI1,PHLDA1
FLI1,TERT
FLI1,TERT
FLI1,TGFBR2
FLI1,TGFBR2
FOSL2,BCL6
FOSL2,BRCA1
FOSL2,CCR4
FOSL2,CLU
FOSL2,FOSL1
FOSL2,IBSP
FOSL2,IL5
FOSL2,IVL
FOSL2,MDM2
FOSL2,MYB
FOSL2,NOS2
FOSL2,PLAUR
FOSL2,TGFB1
FOSL2,TIMP1
FOSL2,UGT2B15
FOXK2,SIN3A
FOXL1,BMP4
FOXO1,ADIPOR1
FOXO1,ANGPT2
FOXO1,AR
FOXO1,CDKN1B
FOXO1,CXCR4
FOXO1,EDN1
FOXO1,EGR1
FOXO1,FABP4
FOXO1,FSHB
FOXO1,HYOU1
FOXO1,IGFBP1
FOXO1,IGFBP1
FOXO1,IGFBP1
FOXO1,IL6
FOXO1,IRS2
FOXO1,KLF2
FOXO1,LHB
FOXO1,NEUROG3
FOXO1,NKX6-1
FOXO1,NLK
FOXO1,PDGFA
FOXO1,PDGFB
FOXO1,PRL
FOXO1,RAG1
FOXO1,TNFSF10
FOXO1,TXNIP
FOXP1,HIP1R
FOXP1,KLK3
FOXP1,RAG1
FUBP3,FGF9
FUS,AR
FUS,DDIT3
FUS,KLK3
FUS,MDM2
GABPA,ERBB2
GABPA,OXTR
GABPA,RPS3A
GABPA,TOMM70
GABPA,ZNF205
GABPB1,OXTR
GATA1,AGGF1
GATA1,ALAS2
GATA1,BACE1
GATA1,BACH1
GATA1,BDKRB1
GATA1,BST2
GATA1,CBFB
GATA1,CCR3
GATA1,CDA
GATA1,CDC6
GATA1,CEBPA
GATA1,COPS5
GATA1,CYBB
GATA1,DACH1
GATA1,DICER1
GATA1,DPYSL2
GATA1,EPO
GATA1,EPO
GATA1,EPOR
GATA1,EPOR
GATA1,F13A1
GATA1,FCER1A
GATA1,FCER1A
GATA1,FLI1
GATA1,FURIN
GATA1,GATA1
GATA1,GATA1
GATA1,GFI1B
GATA1,GNAS
GATA1,GP6
GATA1,GP9
GATA1,GP9
GATA1,GYPB
GATA1,HBA1
GATA1,HBA2
GATA1,HBB
GATA1,HBE1
GATA1,HBG1
GATA1,HEMGN
GATA1,HEMGN
GATA1,PBXIP1
GATA1,IFNG
GATA1,IL1RL1
GATA1,ITGA2B
GATA1,KLF1
GATA1,LTBP4
GATA1,MPL
GATA1,MUC1
GATA1,NFE2
GATA1,PBXIP1
GATA1,PF4
GATA1,PPOX
GATA1,PRG2
GATA1,PTGFR
GATA1,RUNX1
GATA1,SEMG1
GATA1,SMAD1
GATA1,SPI1
GATA1,TAL1
GATA1,TBXA2R
GATA1,WT1
GATA1,WT1
GATA1,ZNF268
GATA2,ADH1A
GATA2,ANGPT2
GATA2,AR
GATA2,CYBB
GATA2,DPYSL2
GATA2,EPO
GATA2,ERVW-1
GATA2,FCER1A
GATA2,GATA1
GATA2,GATA1
GATA2,IL1RL1
GATA2,MS4A2
GATA2,NOS3
GATA2,PECAM1
GATA2,PPARG
GATA2,PRG2
GATA2,SPI1
GATA2,TSHB
GATA2,WT1
GATA3,ALDH1A2
GATA3,CD40LG
GATA3,CD8A
GATA3,CD8B
GATA3,CDH1
GATA3,CDH3
GATA3,CDX2
GATA3,CHST4
GATA3,CXCL1
GATA3,EPO
GATA3,EPOR
GATA3,ERG
GATA3,ERVW-1
GATA3,ESR1
GATA3,FOXC1
GATA3,FOXC2
GATA3,FUT7
GATA3,GATA3
GATA3,HSD17B1
GATA3,IFNG
GATA3,IL10
GATA3,IL12RB2
GATA3,IL4
GATA3,IL5
GATA3,IL5
GATA3,KLK1
GATA3,LOX
GATA3,MMP1
GATA3,MUC1
GATA3,NFKB1
GATA3,PAEP
GATA3,RELA
GATA3,SLCO4C1
GATA3,STAT4
GATA3,TCF7L2
GATA3,TEK
GATA3,TGFBR3
GATA3,ZEB1
GATA4,AMH
GATA4,AMH
GATA4,CCND2
GATA4,CYP17A1
GATA4,ERBB2
GATA4,FABP2
GATA4,FCGR2B
GATA4,FCGR3B
GATA4,FGF10
GATA4,HAMP
GATA4,HDAC9
GATA4,IAPP
GATA4,IL5
GATA4,NOS3
GATA4,NPPA
GATA4,NPPB
GATA4,SGPL1
GATA4,SI
GATA4,STAR
GATA4,SUMO1
GATA6,APOA1
GATA6,CAV1
GATA6,CYP11A1
GATA6,CYP17A1
GATA6,CYP17A1
GATA6,DAB2
GATA6,DKK1
GATA6,PLAU
GATA6,SULT2A1
GATA6,VWF
GLI3,HLA-G
GLI3,SMO
GLI3,VMP1
GTF2B,BDKRB1
GTF2F1,BGLAP
GTF3A,ADM
GTF3A,BAG3
GTF3A,FUS
GTF3A,RAD51B
GTF3A,STAT1
HAX1,ATP2A2
HCFC1,E2F1
HCFC1,E2F4
HCFC1,MMACHC
HDAC1,ABCB1
HDAC1,ALOX15
HDAC1,APOC3
HDAC1,AR
HDAC1,BAMBI
HDAC1,BCL2A1
HDAC1,BIRC3
HDAC1,BIRC5
HDAC1,BRCA2
HDAC1,CCND1
HDAC1,CCND1
HDAC1,CCND2
HDAC1,CD1D
HDAC1,CD44
HDAC1,CD82
HDAC1,CDH1
HDAC1,CDH1
HDAC1,CDKN1A
HDAC1,CDKN1A
HDAC1,CDKN2A
HDAC1,CLDN7
HDAC1,COL1A2
HDAC1,COL1A2
HDAC1,CXCL8
HDAC1,CYP3A4
HDAC1,DEFB1
HDAC1,DNMT1
HDAC1,E2F1
HDAC1,EGFR
HDAC1,EGR1
HDAC1,EIF2AK1
HDAC1,EPCAM
HDAC1,ESR1
HDAC1,ESR1
HDAC1,FOS
HDAC1,GAD1
HDAC1,GRIN2B
HDAC1,HLA-DRA
HDAC1,HMGCS1
HDAC1,HSPA5
HDAC1,ICAM1
HDAC1,IGFBP3
HDAC1,KLF4
HDAC1,ABCB1
