GeneA,GeneB
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
ANKRD1,NPPA
APBB1,GMPS
APEX1,CCL2
APEX1,CD19
APEX1,CYP11B2
APEX1,NFKB1
APEX1,RELA
APEX1,SLC5A5
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ARX,KDM5C
ARX,LMO1
ARX,PAX4
ARX,SHOX2
ASXL1,FABP4
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
BACH2,BCL2
BACH2,IL2
BACH2,XBP1
BARX2,ESR1
BCL3,CTCF
BCL3,EGFR
BCL3,MYB
BCL3,NFKB1
BCL3,NFKB1
BCL3,RELA
BRD7,BRD2
BRD7,BRD3
BRD7,E2F3
BRD7,E2F3
BTF3,ABL2
BTF3,ATM
BTF3,EPHB2
BTF3,HPSE2
BTF3,MADCAM1
BTF3,MRVI1
BTF3,NFKB1
BTF3,RRAS2
BTF3,SSPN
BTG2,CCND1
BTG2,HRAS
BTG2,KLK3
BTG2,SPHK1
CBX7,CCNE1
CBX7,CDH1
CDX1,DSC2
CDX1,IRF2BP2
CDX1,KRT20
CDX1,PCNA
CDX1,POSTN
CDX1,PPARG
CDX1,PTGS2
CDX1,TBP
CEBPD,C3
CEBPD,CASP8
CEBPD,CCL20
CEBPD,CXCL1
CEBPD,CYP19A1
CEBPD,DDIT3
CEBPD,DDIT3
CEBPD,GADD45G
CEBPD,GAPDH
CEBPD,IL23A
CEBPD,PDGFRA
CEBPD,POU5F1
CEBPD,PPARG
CEBPD,PRL
CEBPD,PTGS2
CEBPD,SOD1
CEBPD,TNF
CEBPD,TNFAIP6
CITED2,MMP1
CITED2,MMP13
CNBP,MYC
CNOT7,MSMB
CNOT7,PMP22
COPS5,CDKN1B
COPS5,VEGFA
CRABP2,RARA
CREB3,CXCR4
CTBP1,BRCA1
CTBP1,BRCA2
CTBP1,CLDN7
CTBP1,KRT18
CTCF,ANG
CTCF,APP
CTCF,APP
CTCF,ASAP2
CTCF,ATXN7
CTCF,BBC3
CTCF,BCL6
CTCF,BRCA1
CTCF,CCND1
CTCF,CELSR3
CTCF,CSF2
CTCF,DMPK
CTCF,ETNK2
CTCF,H19
CTCF,PBXIP1
CTCF,IGF2
CTCF,IPO13
CTCF,IRAK2
CTCF,MEG3
CTCF,MYC
CTCF,MYC
CTCF,MYC
CTCF,NANOG
CTCF,NF1
CTCF,PAX6
CTCF,PAX6
CTCF,PAX6
CTCF,PBXIP1
CTCF,PTPRG
CTCF,RAD21
CTCF,RARRES1
CTCF,RBL2
CTCF,SIX5
CTCF,SLC6A4
CTCF,TERT
CTCF,WT1
CTCFL,BAG1
CTNNBIP1,GLI2
CTNNBIP1,MMP14
CTNNBIP1,STMN2
DACH1,FOS
DACH1,PELP1
DACH1,TNFSF11
DBP,ACKR1
DBP,ALDOB
DBP,CYP3A4
DBP,CYP7A1
DDX5,H19
DDX5,IGF2
DR1,NR1I2
DR1,NR2C2
DR1,PTGS2
DR1,TBP
DR1,TBP
DRAP1,TBP
E2F3,AURKA
E2F3,CCNA2
E2F3,CCNB1
E2F3,CDC6
E2F3,CDK1
E2F3,CDKN1A
E2F3,CUX1
E2F3,ERICD
E2F3,MAP3K5
E2F3,MAPK8
E2F3,PLK1
E2F3,TFE3
E2F3,VEGFA
E2F6,APAF1
E2F6,BRCA1
E2F6,BRD7
E2F6,CYC1
E2F6,E2F1
E2F6,IL13
E2F6,PCLAF
EAF1,ELL
EAPP,ABCB1
EAPP,CDKN1A
EAPP,CDKN2A
EAPP,MAOB
EGF,STAT1
EIF2AK2,CD4
EIF2AK2,IRS2
ELF2,TEK
ELF2,VCP
ELK1,CITED2
ELK1,DAP3
ELK1,EIF2AK1
ELK1,ERBB2
ELK1,EZH2
ELK1,FOS
ELK1,FOSL1
ELK1,FUT4
ELK1,MCL1
ELK1,MECOM
ELK1,MUC4
ELK1,PDGFB
ELK1,PSEN1
ELK1,PTPRZ1
ELK1,SKP2
ELK1,SRF
ELK1,TLR9
ELK1,TNFRSF10B
ELK1,WISP2
ELK1,ZFP36
EPAS1,CA9
EPAS1,CCR7
EPAS1,COL10A1
EPAS1,FLT1
EPAS1,MMP14
EPAS1,MSC
EPAS1,PTPRZ1
EPAS1,SERPINE1
EPAS1,USF2
EPAS1,VEGFA
EPAS1,VEGFA
ERCC2,BAX
ERCC2,BCL2
ERCC2,CDKN1A
ERCC2,CPD
ERCC2,E2F1
ERCC2,LAMTOR5
ERCC2,TP53
ERCC2,XPA
ERF,ETS2
ERF,PRL
ERF,UTRN
ESRRA,AHR
ESRRA,CYP19A1
ESRRA,CYP19A1
ESRRA,DAP3
ESRRA,NR2F1
ESRRA,NR2F6
ESRRA,NRIP1
ESRRA,PNRC1
ESRRA,SNAI1
ESRRA,SNAI2
ESRRG,NR0B1
ETV7,ETS1
ETV7,ETS2
ETV7,ETV6
EVX1,GSC
FOXH1,AR
FOXH1,CTCF
FOXI1,CFTR
FOXI1,SLC26A4
FOXN4,PANK2
FOXO4,BCL6
FOXO4,CREB1
FOXO4,HIF1A
FOXO4,PSMD11
FOXO4,SOD2
FOXO4,TNFSF10
FUBP3,FGF9
GABPA,ERBB2
GABPA,OXTR
GABPA,RPS3A
GABPA,TOMM70
GABPA,ZNF205
GATA3,ALDH1A2
GATA3,CD40LG
GATA3,CD8A
GATA3,CD8B
GATA3,CDH1
GATA3,CDH3
GATA3,CDX2
GATA3,CHST4
GATA3,CXCL1
GATA3,EPO
GATA3,EPOR
GATA3,ERG
GATA3,ERVW-1
GATA3,ESR1
GATA3,FOXC1
GATA3,FOXC2
GATA3,FUT7
GATA3,GATA3
GATA3,HSD17B1
GATA3,IFNG
GATA3,IL10
GATA3,IL12RB2
GATA3,IL4
GATA3,IL5
GATA3,IL5
GATA3,KLK1
GATA3,LOX
GATA3,MMP1
GATA3,MUC1
GATA3,NFKB1
GATA3,PAEP
GATA3,RELA
GATA3,SLCO4C1
GATA3,STAT4
GATA3,TCF7L2
GATA3,TEK
GATA3,TGFBR3
GATA3,ZEB1
GATA5,SLC5A1
GRHL1,CYP11A1
HAX1,ATP2A2
HDAC10,TXNIP
HDAC2,ALOX5
HDAC2,APAF1
HDAC2,BMP7
HDAC2,CAD
HDAC2,CCL2
HDAC2,CCNE1
HDAC2,CD1D
HDAC2,CDH1
HDAC2,CDKN1A
HDAC2,COL1A2
HDAC2,CXCL8
HDAC2,CXCL8
HDAC2,DEC1
HDAC2,DNMT1
HDAC2,GRM2
HDAC2,IGF1
HDAC2,KLF4
HDAC2,MUC5AC
HDAC2,MYC
HDAC2,MYCN
HDAC2,PHB
HDAC2,SNAI2
HDAC2,SP1
HDAC2,TGFBR2
HDAC2,TNFSF10
HDAC2,TP63
HDAC2,TWIST1
HDAC2,VEGFA
HDAC3,ALOX5
HDAC3,APOC3
HDAC3,CDH1
HDAC3,CDKN2A
HDAC3,CXCR4
HDAC3,EGFR
HDAC3,GAS2
HDAC3,GATA2
HDAC3,GCM1
HDAC3,GRHL1
HDAC3,GTF2I
HDAC3,IFNA1
HDAC3,JUN
HDAC3,LGALS9
HDAC3,LSS
HDAC3,MBD1
HDAC3,MMP2
HDAC3,MYC
HDAC3,PCK2
HDAC3,PRAM1
HDAC3,TLR9
HDAC3,TNF
HDAC3,ULBP1
HDAC3,VEGFA
HDGF,CDH1
HDGF,FAS
HDGF,SMYD1
HDGF,VEGFA
HDGF,VEGFB
HDGF,VIM
HHEX,HNF4A
HHEX,SLC5A5
HHEX,TLE1
HIPK2,ABCB1
HIPK2,CDKN1A
HIPK2,CTBP2
HIPK2,HIF1A
HIPK2,MEF2C
HIPK2,NOX1
HIPK2,TP53
HIPK2,VEGFA
HIPK2,VIM
HIRA,PLB1
HLF,DBP
HLF,RUNX1
HMG20B,BRCA2
HMGN1,FOS
HMGN1,PCNA
HMGN1,TFF1
HOPX,FLG
HOPX,FOS
